group	group_markers_n	tf_genes	tf_genes_n	tf_genes_frac	tf_cofactor_genes	tf_cofactor_genes_n	tf_cofactor_genes_frac	expression_go_genes	expression_go_genes_n	expression_go_genes_frac
rg_msp_mid_all	1117	ASCL1;ATF3;ATF4;CARHSP1;CEBPD;CNBP;CREB5;DDIT3;DLX2;DMRTA2;DNAJC1;EGR1;EMX2;ETV5;FOS;GABPB1;GLI3;GPBP1;GTF2I;HES1;HES6;HMG20B;HOPX;ID1;ID2;ID4;JUN;JUNB;KLF4;KLF6;LHX2;LITAF;MAF1;MAFF;MEF2C;MEIS2;NCOR1;NFE2L2;NFIX;NKX2-1;NR2E1;NR2F1;PAX6;PLAGL1;POU3F2;RBPJ;REST;RFXANK;RORB;SETBP1;SFPQ;SON;SOX2;SOX3;SOX4;SOX5;SOX9;STAT3;TCF25;TFAP2C;TFDP2;TSC22D4;XBP1;YBX1;ZBTB18;ZBTB20;ZFP36L1;ZFP36L2;ZNF131;ZNF302;ZNF462;SALL3;SLC2A4RG;ZFHX4;ZIC2;ZNF644;BBX;HES4;HES5;NEUROD2;NEUROD6;NFIA;NFIB;POU3F3;SOX11;SOX21	86	0.08	ACTN1;ANP32B;APEX1;ARGLU1;ARHGAP5;ARL2BP;BEX1;BTF3;BTG1;C1QBP;CALR;CBX3;CDC73;CDKN1B;CITED2;CLU;COPS5;CRYM;CTBP2;CTNND2;CXXC5;DDX5;DEK;DHX36;EDF1;EGFR;EID1;ENO1;EZR;FGFR2;FLNA;HINT1;HNRNPD;HSPA1A;HSPA1B;ILK;LDB2;LMO1;LMO2;MAGED1;MDFI;MED17;MED30;MLLT3;MTDH;MYO6;NDUFA13;NEDD8;NPM1;PBXIP1;PCGF5;PFDN5;PHIP;PID1;PIM1;PNRC1;PRMT1;PRMT2;PSIP1;PSPC1;RBFOX2;RBM39;RBMX;RBX1;RGCC;RHOA;RTF1;SCAND1;SKIL;SMARCB1;SMARCD1;SNX6;SRSF2;TAF7;TDG;TERF2IP;TLE1;TLE3;TLE4;TOPORS;TRIM24;TRIM28;TRIP6;UXT;WWTR1;NRG1;GRHPR;BASP1;TCEAL4	89	0.08	AKIRIN2;APEX1;ARF4;ASCL1;ATF3;ATF4;BEX1;BMP7;C1orf61;CD81;CEBPD;CITED2;CNBP;COPS5;CTBP2;DCN;DDIT3;DHX36;DLX2;EGFR;EGR1;ETV5;FGFR2;FOS;FUBP1;GABPB1;GLI3;GPER1;GTF2I;HES1;HES5;HMGN3;ID4;IER2;IL33;ITGB1BP1;JUN;JUNB;KLF4;KLF6;LDB2;LHX2;LITAF;LMO1;LMO2;MAFF;MED17;MEF2C;MEIS2;MYDGF;MYO6;NDN;NEUROD2;NEUROD6;NFE2L2;NFIA;NFIB;NFIX;NKX2-1;NPM1;NR2E1;NR2F1;PARP1;PAX6;PCBP1;PCGF5;PFN1;PHIP;PID1;PLAGL1;POU3F2;POU3F3;PPP1R12A;PTOV1;RBMX;RBPJ;RFXANK;RGCC;RHOQ;RORB;RPS27A;SFPQ;SFRP2;SMARCB1;SOX11;SOX2;SOX21;SOX3;SOX4;SOX5;SOX9;STAT3;TAF7;TFAP2C;TFDP2;UBA52;UBC;UXT;WWTR1;XBP1;YBX1;ZBTB18;ZNF131;ZNF462;BBX;BTG2;C1QBP;CALR;CDC73;CRYM;CXXC5;DDX5;EID1;EMX2;ENO1;EZR;GADD45A;HES4;HES6;ID1;ID2;IGBP1;KANK2;KHDRBS1;MDFI;MTDH;NCOR1;NEDD4L;PCNA;REST;RFC1;RPL10;RPL23;RPS14;RTF1;SKIL;TCF25;TDG;TLE4;TRIM28;ZBTB20;ZFHX4;ZFP36;BTG1;CCNL1;CREB5;DMRTA2;EDF1;GPBP1;HINT1;HNRNPD;HP1BP3;MAGED1;MAPK8IP1;MLF1;MLF2;MLLT3;PFDN5;PPP2CA;PSPC1;RPL6;SALL3;SCAND1;SLC2A4RG;TERF2IP;TLE1;TLE3;TSC22D4;ZNF302;ZNF644;APOE;CCNL2;DEK;GLO1;HMGN1;HOPX;HSPD1;NEDD8;PAM;RHOA;SMARCD1;STOX1;ZFP36L1;ZIC2;CD38;FZD2;ILK;MDK;MED30;MLLT11;MT3;PIM1;PITHD1;PRMT2;PSMD9;PSRC1;SFRP1;SNX5;TOPORS;TRIM24;YWHAH;ACTG1;AGO3;CAMK2N1;CCL3;CLU;CRH;F3;GJA1;GSN;HSPA1A;HSPA1B;ITGB8;KRAS;LDLR;LMNA;MSN;NRG1;NRXN1;NTRK2;QKI;RDX;RPL11;RPL5;RPS3;RPS7;SPRY2;TNC;TNRC6B;VIM;BASP1;CBX3;CBY1;CDKN1B;DKK3;NDUFA13;PBXIP1;RBFOX2;SET;SNX6;FLNA;GPX3;HNRNPF;RBX1;EIF4A3;FYN;MAPT;MIF;NDFIP1;RNASEH2B;ARL2BP;ATRAID;HMG20B;NOVA1;PCBP2;PHGDH;PIK3CA;PLCG2;BTF3;GTF2F2;POLR2C;POLR2F;POLR2I;POLR2L;SRSF2;CIB1;EIF2AK2;PPIA;UBE2N;HIGD1A;PSMA2;PSMA3;PSMA7;PSMD3;PSMD6;PSME1;POLD2;UVSSA;PLPP3;PTMA;CSNK1E;PPP1CA;PPP1CB;COMT;DPH5;FBL;GAMT;MAT2B;PCMT1;PRMT1;PCMTD1;SNRPB;COMMD6;TMSB4X;INTS2;PAPOLA;SLBP;SNRPE;SNRPF;SNRPG;NEK6;ACTN1;SRI;HSPA5;MAF1;TMBIM6;HSPB1;CYP51A1;RPS27L;ANGPT2;RPL26;LARP7;YTHDC1	313	0.28
rg_pfc_early_all	85	DDIT3;FOS;HES1;HOPX;SOX4;HES4	6	0.07	ACTB;CLU;HINT1;NACA	4	0.05	DDIT3;FOS;HES1;HES4;HINT1;RPL6;SOX4;HOPX;CLU;NRXN1;RPL11;RPL5;RPS7;HMGN3;MDK;MIF;TMSB4X;NACA;ACTB;CHCHD10	20	0.24
rg_pfc_late_all	60	HES1;ID4;KLF6;MEIS2;PAX6;SON;YBX1	7	0.12	ARGLU1;CLU;DDX1;MORF4L1;PRMT2;RTF1;TLE4;TOP1;YWHAB;BASP1	10	0.17	BASP1;HES1;ID4;MT3;PRMT2;SFRP1;TLE4;YWHAB;IER2;KLF6;MEIS2;PAX6;YBX1;HP1BP3;MORF4L1;RTF1;CLU;SRPK2;TOP1;MIF;DDX1	21	0.35
rg_pfc_mid_all	652	ASCL1;CARHSP1;EMX2;ETV1;ETV5;GABPB1;HES1;HES6;HOPX;ID4;JUN;JUNB;JUND;KLF3;KLF6;MAF1;MEF2C;NCOR1;NME2;PAX6;RERE;RORB;SON;SOX2;SOX3;TFAP2C;THRA;TSC22D1;YBX1;YBX3;ZEB2;ZFP36L1;ZFP36L2;ZNF711;HES4;NEUROD2;SOX11;SOX8;GTF3A	39	0.06	ACTB;ACTN1;ANP32B;APBB1;ARGLU1;AURKAIP1;BRWD1;BTG1;C1QBP;CALR;CBX3;CHCHD2;CHCHD3;CITED2;CLU;CRYM;CTBP2;CTNNB1;EZR;FLNA;HNRNPU;HSPA1B;KDM5B;MAGED1;MTDH;NDUFA13;NELFE;PIN1;PNRC1;PRMT2;PSIP1;PSPC1;RBMX;RGCC;RHOA;SCAND1;SMARCB1;SRSF2;TERF2IP;TLE1;TLE4;TOB1;NRG1	43	0.07	AKIRIN2;APBB1;APP;ASCL1;BMP7;C1orf61;CD81;CHCHD2;CITED2;CTBP2;CTNNB1;ETV1;ETV5;GABPB1;HES1;HMGN3;HNRNPU;ID4;IER2;ITGA6;JUN;JUNB;JUND;KLF3;KLF6;LAGE3;LMO4;MEF2C;MYDGF;NDN;NELFE;NEUROD2;NME2;PARP1;PAX6;PFN1;PIN1;RBMX;RGCC;RORB;SFRP2;SMARCB1;SOX11;SOX2;SOX3;SOX8;TFAP2C;THRA;YBX1;YES1;ZEB2;BTG2;C1QBP;CALR;CRYM;EMX2;EZR;HES4;HES6;MTDH;NCOR1;TLE4;UBE2D1;UBE2I;YBX3;BTG1;HP1BP3;MAGED1;MAPK8IP1;PHF20L1;PSPC1;RERE;SCAND1;TERF2IP;TLE1;TSC22D1;ZNF711;CLU;CRH;F3;HSPA1B;IFNGR1;ITGB8;KDM5B;KRAS;LMNA;MT3;NRG1;NRXN1;RAMP3;RDX;ROBO1;SPRY2;STOX1;TMED2;TNC;VIM;HOPX;ZFP36L1;CBX3;COMMD7;DKK3;NDUFA13;PRMT2;SFRP1;YWHAQ;APOE;BRWD1;GLO1;HMGN1;RHOA;HNRNPAB;MDK;MRPL12;PITHD1;SNX5;YWHAH;FLNA;GPX3;EIF4A3;MAPT;MIF;NDFIP1;ATP1B1;ATRAID;NOVA1;TOB1;SRSF2;POLR2L;FLOT1;SPHK1;PLPP3;PSMA2;PSMC1;PSMD14;PSMD2;PSMD3;PSMD8;PPP1CB;PPP1CC;ACTN1;SRI;PTMA;ADRM1;COMT;MAF1;TMBIM6;ACTB;GPX1;HSPB1;CYP51A1;SMCHD1;CHCHD10;LARP7;HSPA5;YTHDC1;SLBP	157	0.24
rg_temporal_early_all	41	NR2F1;HES4;HES5	3	0.07	NDUFA13;TXN	2	0.05	HES4;HES5;NR2F1;TXN;CD81;NDN;MT3;NDUFA13;MIF	9	0.22
rg_temporal_late_all	46	NR2F1;NR2F2;SOX2;TSC22D4	4	0.09	HSPA1A;PIK3R1	2	0.04	AGT;APOE;MT3;NR2F2;SOX2;NR2F1;TSC22D4;EDNRB;SFRP2;GJA1;HSPA1A;NTRK2;PIK3R1;PLPP3	14	0.3
rg_temporal_mid_all	420	ARID5B;ATF3;CEBPD;ETV5;FOS;HBP1;HES1;HEY1;IRF1;JUNB;MEF2C;NCOR1;NFE2L2;NR2F1;SON;SOX4;TGIF1;THRA;PEG3;NEUROD2;NEUROD6;SOX11	22	0.05	ARL2BP;BEX1;CITED1;CTNND1;DAPK3;DDX39B;GSK3B;HDAC3;HSPA1B;ILK;MLLT3;NACA;PBXIP1;PFDN5;PNRC1;SMARCA2;SMARCB1;SQSTM1;STRAP;TGFB1I1;TOB1;TOB2;TSPYL2;VGLL4;WWTR1;DDX17;BASP1	27	0.06	APBB2;ATF3;CEBPD;CITED1;DAPK3;ETV5;FOS;HBP1;HES1;HEY1;IRF1;JUNB;MEF2C;MLLT3;NEUROD2;NEUROD6;NFE2L2;NR2F1;PEG3;PFDN5;PPP2CA;RPL6;SMARCA2;SOX11;SOX4;TGIF1;THRA;VGLL4;WWTR1;AKIRIN2;APP;BEX1;HDAC3;RPS27A;SFRP2;SMARCB1;SQSTM1;UBA52;ARID5B;EDNRB;MAPK10;NCOR1;RPL10;RPL23;STRAP;TAGLN3;BASP1;DKK3;PBXIP1;SET;ILK;MLLT11;PSRC1;TGFB1I1;IFRD1;F3;GSK3B;HSPA1B;RPL11;TMED2;ANXA7;BBS2;MIF;MYADM;NDFIP1;HNRNPF;UBA2;ARL2BP;NACA;ATP1B1;FUT8;TOB1;TOB2;PLPP3;CAT;HIGD1A;PSMD3;NRBP1;MAT2B;METTL3;SHMT2;COMMD6;TMSB4X;COPS4;PTMA;PPP1CC;RPL26;DDX39B;EIF4E;HSPB1;INTS10	91	0.22
rg_v1_early_all	640	AFF4;BACH2;CARHSP1;CSDE1;EMX1;EMX2;FOXG1;FOXN3;FOXO3;FOXP1;GATAD2B;GTF2I;HES6;HMGA1;HMGB2;HOPX;JUND;LHX2;MAZ;MEF2C;MTA2;NCOR2;NFIX;NR2F1;NR4A2;PBX1;PRDM2;PRDM8;SATB1;SATB2;SFPQ;SOX4;SOX5;TBR1;TCF4;THRA;TSHZ3;UBP1;YBX1;YY1;ZBTB18;ZBTB44;ZEB2;ZKSCAN1;ZNF462;ZNF711;MYEF2;BCL11A;FEZF2;HIVEP2;KLF7;MYT1L;ZIC2;ZMIZ1;ZNF532;AFF3;CSRNP3;EOMES;MLXIP;NEUROD2;NEUROD6;NFIA;NFIB;POU2F2;SOX11;SOX12;BHLHE22;C11orf95;GTF3A	69	0.11	ACTB;AUTS2;BMI1;BRD3;BRD4;BTF3;CALCOCO1;CARM1;CBFA2T2;CDK5R1;CHD3;CRYM;CTBP1;CTNNB1;CTNND2;DACT1;DNAJB1;FBXW7;HSBP1;HSPA1A;HSPA1B;INSR;IRF2BPL;JMJD1C;KAT6B;KDM2B;KDM5B;KDM6B;KMT2A;KMT2E;LDB2;LZTS1;MDFI;MDM4;MLLT3;MTDH;MTPN;MYCBP2;NACA;NDUFA13;PDLIM1;RBFOX2;RNF2;RUNX1T1;SMARCA4;SMARCD3;SSBP2;SSBP3;SUMO1;TERF2IP;TLE3;TRIM28;TRIM33;YWHAB;DPF1;MTF2;RLIM;ARHGAP35;CAMK4;TENM2;MED13L;BASP1	62	0.1	ASXL3;AUTS2;BMPR2;BRD4;CALCOCO1;CARM1;CSRNP3;CTNNB1;DPF1;EOMES;FEZF2;FLCN;FOXO3;GTF2I;HMGA1;HMGB2;HMGN3;INHBA;IRF2BPL;ITGB1BP1;JUND;KAT6B;KDM6B;KLF7;KMT2A;LAGE3;LDB2;LHX2;LMO4;LMO7;MEF2C;MLXIP;MTA2;MTF2;NEUROD2;NEUROD6;NFIA;NFIB;NFIX;NR2F1;NR4A2;PBX1;PCBP1;PKD1;POU2F2;PPP3CA;PPP3CB;PRDM2;PTOV1;SATB2;SFPQ;SFRP2;SMARCA4;SOX11;SOX12;SOX4;SOX5;SSBP2;SSBP3;TBR1;TCF4;THRA;UBA52;UBP1;YBX1;YY1;ZBTB18;ZEB2;ZMIZ1;ZNF462;BACH2;BCL11A;BMI1;CBFA2T2;CHD3;CRYM;CTBP1;DACT1;DICER1;DNMT3A;EMX1;EMX2;FNIP2;FOXG1;GATAD2B;HES6;HSBP1;IGBP1;KDM2B;KHDRBS1;MDFI;MDM4;MTDH;MYT1L;NCOR2;NEDD4L;PTPN2;RLIM;RNF2;RPL10;RPS14;SATB1;SUMO1;TENM2;TRIM28;TRIM33;BHLHE22;CELSR2;FADS1;FOXN3;FOXP1;INSR;JMJD1C;MLLT3;MN1;PRDM8;RUNX1T1;SBNO1;SPIN1;TERF2IP;TLE3;ZKSCAN1;ZNF711;HOPX;MAZ;MYEF2;TSHZ3;ZIC2;BRD3;KDM5B;MED13L;PDLIM1;BASP1;BCL7A;C11orf95;CDK5R1;CRYAB;MT3;NDUFA13;RBFOX2;SET;YWHAB;CAMK4;CAND1;HNRNPAB;KMT2E;MLLT11;SMARCD3;USP22;YWHAH;AFF3;AFF4;ATP1B1;MAPK8;NOVA2;PCBP2;PHGDH;POGZ;SLC8A1;ANK2;ANK3;CCL3;HSPA1A;HSPA1B;LAMTOR5;NTRK3;RBM4B;RPL11;RPL5;RPS3;TNRC6A;TNRC6B;TNRC6C;TPT1;YWHAZ;HNRNPL;FBXW7;FYN;MAPT;SH3GL2;SRSF6;DNAJB1;NACA;BTF3;POLR2B;POLR2J3;MTPN;POLR1D;RNPS1;FBL;CSNK1E;MYCBP2;GNAS;SRI;MTURN;PRDX2;TMSB4X;RPRD2;PABPN1;SNRPG;DDB1;ACTB;PUM1;YTHDC1;PSMB5;BAIAP2;RPS27L;WTAP;CELF3;ADCY1;RPL26	211	0.33
rg_v1_late_all	56	CARHSP1;MEF2C;NR2F1;SON;TCF4;ZBTB18	6	0.11	BEX1;HSPA1A;PA2G4;TLE4	4	0.07	MEF2C;NR2F1;RPL23;TCF4;TLE4;ZBTB18;HSPA1A;MT3;TNC;BEX1;PA2G4;PTMA;RPL26	13	0.23
rg_v1_mid_all	863	ARID4B;ATF3;BCLAF1;CAMTA1;CARHSP1;CNBP;CREB5;DACH1;DMRTA2;EGR1;EMX2;ETV5;FOS;FOSB;FOXG1;HES1;HEY1;HMGB2;ID1;ID2;ID4;IRF1;JUN;JUNB;JUND;KLF4;KLF6;LHX2;LITAF;MAFF;MAZ;MEF2C;NCOR1;NEUROG2;NFIX;NME2;NPAS3;NR2F1;NR4A1;PAX6;PLAGL1;RBCK1;RBPJ;REST;RFX4;SON;SOX2;SOX3;SOX4;SOX9;SSRP1;STAT3;TCF4;TFAP2C;TFDP2;TGIF1;THAP7;TRPS1;TSC22D4;TULP3;XBP1;XPA;YBX3;ZBTB18;ZBTB20;ZFP36L1;ZFP36L2;ZNF302;ZNF32;ZSCAN18;REPIN1;FEZF2;PEG3;SALL3;ZIC2;ZNF22;ZNF43;ZNF706;BBX;HES4;HES5;NFIA;NFIC;SOX21;GTF3A	85	0.1	ACTB;ACTN1;ANP32B;ARGLU1;ARL2BP;ATAD2;AURKAIP1;BAZ1A;BEX1;BTG1;CALR;CCDC59;CDC73;CGGBP1;CHCHD2;CHD7;CHMP1A;CTBP2;CXXC5;DDX5;DEK;DHX36;DNAJB1;EHMT2;ENO1;EWSR1;EZR;FLNA;FUS;GSK3B;HDAC2;HELLS;HNRNPC;HNRNPU;HSPA1A;HSPA1B;MDFI;MED19;MTPN;NDUFA13;NOTCH1;NPM1;NSD1;PHIP;PIM1;PIN1;PMF1;PSIP1;PTTG1;PUF60;RALY;RBBP7;RBMX;RGCC;RSF1;RTF1;SAFB2;SAP30;SCAND1;SF1;SIVA1;SMARCA4;SMARCA5;SMARCB1;SRSF2;SUDS3;SUPT16H;TCEA1;TCEA2;TOP1;TPR;TRIM28;TRIM37;TRIP6;UXT;VGLL4;YWHAB;DDX17;NRG1;BASP1	80	0.09	AKIRIN2;ARID4B;ATAD2;ATF3;BCLAF1;BEX1;BMP7;C1orf61;CAMTA1;CD81;CDON;CHCHD2;CHD7;CNBP;CTBP2;DCN;DHX36;EGR1;ETV5;FEZF2;FOS;FOSB;HDAC2;HES1;HES5;HEY1;HMGB2;HNRNPU;ID4;IER2;IRF1;JUN;JUNB;JUND;KLF4;KLF6;LHX2;LITAF;MAFF;MED19;MEF2C;MYDGF;NFIA;NFIC;NFIX;NME2;NOTCH1;NPM1;NR2F1;NR4A1;NUFIP1;PARP1;PAX6;PEG3;PFN1;PHIP;PIN1;PLAGL1;PPP1R12A;PRKDC;PSMC3;RBMX;RBPJ;RFX4;RGCC;RGMA;RPS27A;RSF1;SFRP2;SMARCA4;SMARCA5;SMARCB1;SOX2;SOX21;SOX3;SOX4;SOX9;STAT3;TCEA1;TCEA2;TCF4;TET1;TFAP2C;TFDP2;UBC;UXT;XBP1;ZBTB18;BBX;BTG2;CALR;CDC73;CGGBP1;CXXC5;DACH1;DDX5;EHMT2;EMX2;ENO1;EZR;FOXG1;GADD45A;HES4;HNRNPA2B1;ID1;ID2;MDFI;NCOR1;NRARP;NSD1;PCNA;PHF14;RBBP7;REST;RFC1;RTF1;SAP30;SUDS3;TGIF1;THAP7;TPR;TRIM28;TRIM37;TRPS1;UBE2D1;UBE2D3;UBE2I;YBX3;ZBTB20;ZFP36;BTG1;CCNL1;CDCA7;CREB5;DMRTA2;EWSR1;FUS;HP1BP3;MLF1;NEUROG2;NPAS3;PPP2CA;SAFB2;SALL3;SCAND1;TMPO;TSC22D4;TULP3;VGLL4;ZNF22;ZNF302;ZNF43;ZSCAN18;BAZ1A;CCNL2;CKS2;DEK;HMGN1;HSPD1;MAZ;SNF8;ZFP36L1;ZIC2;BASP1;CHMP1A;COMMD7;CRYAB;ILF3;MT3;NDUFA13;NRG1;PHB2;XRCC5;YWHAB;YWHAQ;ZNF706;CAND1;MAP2K2;MDK;MRPL12;PIM1;PSRC1;SNX5;FLNA;GPX3;HNRNPF;TPT1;UBA2;ACTG1;EPHB2;GSK3B;HSPA1A;HSPA1B;LDLR;PDCD5;QKI;RDX;RPL11;RPS7;SPRY2;TMED2;TNC;VIM;GGNBP2;MIF;MYADM;NDFIP1;CDK4;FKBP8;PCBP2;PHGDH;GTF2F2;PMF1;SSRP1;SUPT16H;ARL2BP;DNAJB1;SF1;SRSF2;RALY;EIF2AK2;MTPN;RBCK1;CSNK1E;PPP1CC;TOP1;PLPP3;PSMA2;PSMA7;PSMD2;PSMD3;PSMD8;POLD2;RPA3;XPA;COMMD6;NFKBIL1;ADRM1;PTMA;RNPS1;AHCY;COMT;GAMT;TYMS;ACTN1;CDT1;DHFR;PAPOLA;SNRPB;SNRPF;HELLS;ACTB;HSPA5;GPX1;CYP51A1;UBE2B;MEX3D;RAB6A;RPL26;YTHDC1;HSPB1	261	0.3
